"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku","Cena za 3-sekundové prehranie videa (EUR)","3-second video plays rate per impressions",ThruPlays
2026-02-01,2026-02-28,"TOP 10 najčastejších záhradkárskych problémov",sanaplant_boosting,not_delivering,2026-02-06,2026-02-15,15,Celkový,14.96,,,,,,1.866966,8013,4491,1.784235,11,1.36,0.137277,0.222668,,,,0,0,1,14.96,116,0.128966,2,,2,,,
2026-02-01,2026-02-28,frigomax_video,sanaplant_conversion_frigomax,inactive,2025-03-07,Prebieha,12,Denne,12.58,24.97,1.984897,1,12.58,24.97,2.74373,4585,3191,1.436854,60,0.209667,1.308615,1.692259,15,0.838667,208.86,2.631579,1.612903,38,0.331053,1070,0.011757,,2,,0.012631,21.72301,257
2026-02-01,2026-02-28,frigomax_video,sanaplant_conversion_frigomax,not_delivering,2025-02-20,Prebieha,10,Denne,11.51,,,,,,3.644712,3158,1870,1.68877,49,0.234898,1.551615,2.299465,1,11.51,18.44,0,0,30,0.383667,665,0.017308,,,,0.018746,19.442685,245
2026-02-01,2026-02-28,frigomax_video,sanaplant_conversion_frigomax,inactive,2025-02-20,Prebieha,5,Denne,8.19,,,,,,2.817337,2907,1770,1.642373,14,0.585,0.481596,0.677966,,,,0,0,5,1.638,275,0.029782,,,,0.031992,8.80633,100
2026-02-01,2026-02-28,"My vieme, čo ochráni vašu záhradu. Viete to aj vy?",sanaplant_boosting_traffic,not_delivering,2026-02-13,2026-02-28,20,Celkový,19.98,31.13,1.558058,1,19.98,31.13,1.439067,13884,7693,1.804758,487,0.041027,3.507635,5.303523,3,6.66,49.2,0.244499,0.205339,409,0.048851,6816,0.002931,,20,6,0.003193,45.073466,1664
2026-02-01,2026-02-28,"Malý praktický balíček",sanaplant_general_sales,inactive,2026-02-18,Prebieha,10,Denne,2.2,,,,,,4.214559,522,415,1.257831,16,0.1375,3.065134,3.614458,4,0.55,110.18,0,0,14,0.157143,223,0.009865,,3,,0.011399,36.97318,67
2026-02-01,2026-02-28,"Záhradkári CAT",sanaplant_general_sales,inactive,2026-02-18,Prebieha,10,Denne,5.7,,,,,,2.10177,2712,1957,1.385795,40,0.1425,1.474926,1.83955,1,5.7,11.74,0,0,18,0.316667,42,0.135714,,1,,,,
2026-02-01,2026-02-28,"Broskyne CAT",sanaplant_general_sales,inactive,2026-02-18,Prebieha,10,Denne,14.81,24.97,1.686023,1,14.81,24.97,2.284084,6484,4426,1.46498,149,0.099396,2.297964,2.553095,23,0.643913,127.73,0.980392,0.666667,102,0.145196,163,0.090859,,,3,,,
2026-02-01,2026-02-28,"Broskyne CAT",sanaplant_general_sales,inactive,2026-02-20,Prebieha,10,Denne,25.08,17.11,0.682217,1,25.08,17.11,2.295232,10927,5068,2.156077,241,0.104066,2.205546,3.137332,7,3.582857,215.67,0.666667,0.413223,150,0.1672,250,0.10032,,,,,,
2026-02-01,2026-02-28,"Malý praktický balíček",sanaplant_general_sales,not_delivering,2026-02-20,Prebieha,10,Denne,54.96,243.76,4.435226,5,10.992,48.752,3.956519,13891,6690,2.076383,171,0.321404,1.231013,2.152466,21,2.617143,374.71,4.62963,2.155172,108,0.508889,3884,0.01415,,10,3,0.015224,25.98805,838
2026-02-01,2026-02-28,"Začiatok sezóny sa začína v pôde, ktorá je zásobená živinami.",sanaplant_general_sales,not_delivering,2026-02-20,Prebieha,10,Denne,5.04,,,,,,3.15197,1599,934,1.711991,13,0.387692,0.813008,0.963597,3,1.68,,0,0,5,1.008,311,0.016206,,1,,0.017027,18.51157,42
2026-02-01,2026-02-28,"Žlté lepové dosky",sanaplant_general_sales,inactive,2026-02-25,2026-03-08,20,Celkový,5.55,,,,,,2.442782,2272,1723,1.31863,26,0.213462,1.144366,1.392919,5,1.11,50.81,0,0,15,0.37,31,0.179032,,,,,,
