"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku","Cena za 3-sekundové prehranie videa (EUR)","3-second video plays rate per impressions",ThruPlays
2026-02-01,2026-02-28,"Ochráňte svoje stromy pred jarnými mrazmi",sanaplant_conversion_frigomax,inactive,2025-02-20,Prebieha,5,Denne,5.33,,,,,,4.65096,1146,998,1.148297,4,1.3325,0.34904,0.400802,,,,0,0,,,5,1.066,,,,,,
2026-02-01,2026-02-28,"Ochráňte svoje stromy pred jarnými mrazmi",sanaplant_conversion_frigomax,not_delivering,2025-02-20,Prebieha,10,Denne,63.93,266.14,4.162991,10,6.393,26.614,2.897217,22066,11383,1.938505,457,0.139891,2.07106,3.496442,41,1.559268,788.6,3.184713,2.188184,314,0.203599,508,0.125846,2,8,5,,,
2026-02-01,2026-02-28,"Ochráňte svoje stromy pred jarnými mrazmi",sanaplant_conversion_frigomax,not_delivering,2025-03-07,Prebieha,12,Denne,140.49,1102.66,7.848673,39,3.602308,28.273333,2.324993,60426,18432,3.27832,1088,0.129127,1.800549,4.622396,109,1.288899,2469.03,5.760709,3.577982,677,0.207518,1171,0.119974,5,20,13,,,
2026-02-01,2026-02-28,exkluzivne_produkty,sanaplant_product_catalog,not_delivering,2025-03-27,Prebieha,"Using campaign budget",0,33.4,113.12,3.386826,3,11.133333,37.706667,2.13938,15612,7264,2.149229,196,0.170408,1.255445,1.886013,11,3.036364,519.76,2.727273,1.522843,110,0.303636,209,0.159809,,,,,,
2026-02-01,2026-02-28,repka_video,sanaplant_boosting_traffic,inactive,2026-01-15,Prebieha,5,Denne,27.06,70.9,2.620103,1,27.06,70.9,1.412834,19153,12481,1.534573,203,0.1333,1.059886,1.54635,1,27.06,69.9,0.806452,0.490196,124,0.218226,3991,0.00678,,5,1,0.007214,19.584399,462
2026-02-01,2026-02-28,"Pestujete repku, slnečnicu, mak alebo sóju?",sanaplant_boosting_traffic,inactive,2026-01-15,Prebieha,2,Denne,10.73,,,,,,1.442592,7438,5138,1.447645,67,0.160149,0.90078,1.245621,,,,0,0,42,0.255476,73,0.146986,,1,,,,
2026-02-01,2026-02-28,"10 produktov Sanaplant 1/26",sanaplant_general_sales,inactive,2026-01-15,Prebieha,4,Denne,144.5,1098.33,7.6009,15,9.633333,73.222,3.588457,40268,13820,2.913748,826,0.174939,2.051257,3.965268,160,0.903125,2816.44,3.061224,1.815981,490,0.294898,1176,0.122874,,7,6,0.457278,0.784742,47
2026-02-01,2026-02-28,"10 produktov Sanaplant 1/26",sanaplant_general_sales,not_delivering,2026-01-29,Prebieha,6,Denne,9.7,,,,,,2.606126,3722,2550,1.459608,59,0.164407,1.585169,1.843137,,,,0,0,26,0.373077,256,0.037891,,,,0.050785,5.13165,30
2026-02-01,2026-02-28,"Predjarná ochrana broskýň",sanaplant_general_sales,inactive,2026-01-15,Prebieha,4,Denne,41.62,212.84,5.113888,3,13.873333,70.946667,2.389619,17417,7966,2.186417,291,0.143024,1.670781,2.698971,62,0.67129,874.8,1.986755,1.027397,151,0.275629,4355,0.009557,1,12,2,0.010353,23.080898,3428
2026-02-01,2026-02-28,"Pestujete repku, slnečnicu, mak alebo sóju?",sanaplant_general_sales,inactive,2026-01-29,Prebieha,3,Denne,15.35,,,,,,1.776004,8643,2024,4.270257,36,0.426389,0.416522,1.679842,14,1.096429,117.43,0,0,13,1.180769,960,0.01599,,1,1,0.016943,10.482471,135
