"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku","Cena za 3-sekundové prehranie videa (EUR)","3-second video plays rate per impressions",ThruPlays
2026-03-01,2026-03-31,"Ochráňte svoje stromy pred jarnými mrazmi",sanaplant_conversion_frigomax,not_delivering,2025-03-07,Prebieha,12,Denne,352.31,3999.4,11.351934,132,2.669015,30.298485,2.222131,158546,36545,4.338377,2907,0.121194,1.833537,5.880421,405,0.869901,11343.27,7.108239,4.534524,1857,0.18972,3166,0.111279,12,51,59,58.718333,0.003784,1
2026-03-01,2026-03-31,"10 produktov Sanaplant 1/26",sanaplant_general_sales,inactive,2026-01-15,Prebieha,4,Denne,151.55,2266.31,14.954207,29,5.225862,78.148621,3.175351,47727,15567,3.065909,859,0.176426,1.79982,3.488148,231,0.656061,3216.31,5.858586,3.372093,495,0.306162,2115,0.071655,,7,4,0.124733,2.545729,194
2026-03-01,2026-03-31,"Malý praktický balíček",sanaplant_general_sales,not_delivering,2026-02-20,Prebieha,10,Denne,22.35,35.69,1.596868,1,22.35,35.69,3.552694,6291,3803,1.65422,38,0.588158,0.604038,0.946621,39,0.573077,269.38,5.263158,1.785714,19,1.176316,1374,0.016266,,2,3,0.0171,20.775711,273
2026-03-01,2026-03-31,"Žlté lepové dosky",sanaplant_general_sales,inactive,2026-02-25,2026-03-08,20,Celkový,3.49,,,,,,2.020845,1727,1384,1.247832,20,0.1745,1.158078,1.300578,2,1.745,19.68,0,0,14,0.249286,22,0.158636,,,,,,
2026-03-01,2026-03-31,"Viete, čo najviac ovplyvní úrodu v júli?",sanaplant_boosting_traffic,not_delivering,2026-03-02,2026-03-15,20,Celkový,19.93,,,,,,1.768883,11267,5550,2.03009,234,0.085171,2.076862,3.459459,19,1.048947,36.88,0,0,114,0.174825,241,0.082697,,1,1,,,
2026-03-01,2026-03-31,"10 produktov Sanaplant 1/26",sanaplant_general_sales,not_delivering,2026-03-06,Prebieha,5,Denne,0,,,,,,0,11,11,1,,,,,,,,0,0,,,,,,,,,,
2026-03-01,2026-03-31,"Spolu za zdravý vinič",sanaplant_boosting_traffic,not_delivering,2026-03-10,2026-03-24,20,Celkový,19.96,,,,,,1.387749,14383,5510,2.610345,308,0.064805,2.141417,4.192378,4,4.99,258.92,0,0,272,0.073382,349,0.057192,,2,4,,,
2026-03-01,2026-03-31,"Či už plánujete výsev v záhrade...",sanaplant_boosting_traffic,not_delivering,2026-03-16,2026-03-26,20,Celkový,19.94,18.68,0.93681,1,19.94,18.68,1.158494,17212,9039,1.904193,257,0.077588,1.493144,2.389645,3,6.646667,152,0.558659,0.389105,179,0.111397,280,0.071214,1,,1,,,
2026-03-01,2026-03-31,"MYCOFiX – mikrobiálny biostimulant na podporu koreňov a lepšieho využitia živín.",sanaplant_boosting_traffic,not_delivering,2026-03-25,2026-03-31,20,Celkový,19.99,,,,,,1.260165,15863,8203,1.933805,300,0.066633,1.891193,3.120809,1,19.99,18.44,0,0,236,0.084703,318,0.062862,,1,1,,,
