"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku","Cena za 3-sekundové prehranie videa (EUR)","3-second video plays rate per impressions",ThruPlays
2026-05-01,2026-05-31,"Slimáky / slizniaky",sanaplant_boosting_traffic,not_delivering,2026-04-28,2026-05-12,15,Celkový,12.37,16.07,1.299111,1,12.37,16.07,1.944663,6361,4306,1.477241,286,0.043252,4.496148,4.807246,1,12.37,9.54,0.649351,0.34965,154,0.080325,352,0.035142,,,1,0.229074,0.848923,10
2026-05-01,2026-05-31,"Starostlivosť o broskyne",sanaplant_boosting_traffic,not_delivering,2026-04-28,2026-05-17,30,Celkový,25.44,,,,,,0.751329,33860,15562,2.175813,1309,0.019435,3.865918,5.931114,4,6.36,146.93,0,0,997,0.025517,1363,0.018665,1,8,4,,,
2026-05-01,2026-05-31,"Vrtivka čerešňová",sanaplant_boosting_traffic,not_delivering,2026-05-04,2026-05-18,25,Celkový,24.95,511.2,20.488978,1,24.95,511.2,0.798451,31248,16096,1.941352,1734,0.014389,5.549155,7.647863,8,3.11875,435.51,0.083542,0.05767,1197,0.020844,1840,0.01356,3,1,7,0.860345,0.092806,10
2026-05-01,2026-05-31,"Mak patrí medzi plodiny",sanaplant_boosting_traffic,not_delivering,2026-05-11,2026-05-25,25,Celkový,24.92,,,,,,1.665887,14959,9030,1.656589,521,0.047831,3.482853,4.451827,,,,0,0,333,0.074835,571,0.043643,1,,1,,,
2026-05-01,2026-05-31,"Laudis – spoľahlivý pomocník v boji s burinou pri pestovaní kukurice",sanaplant_05-07/26,inactive,2026-05-13,Prebieha,5,Denne,46.1,,,,,,2.642137,17448,7955,2.193338,234,0.197009,1.341128,2.514142,7,6.585714,969.25,0,0,145,0.317931,266,0.173308,1,1,3,,,
2026-05-01,2026-05-31,"Gunner = presnosť, sila a spoľahlivosť v každom postreku",sanaplant_05-07/26,inactive,2026-05-13,Prebieha,5,Denne,43.4,,,,,,5.347462,8116,4052,2.002962,101,0.429703,1.244455,2.196446,2,21.7,180.99,0,0,71,0.611268,123,0.352846,,4,3,,,
2026-05-01,2026-05-31,"Barbarian Super 360",sanaplant_05-07/26,inactive,2026-05-13,Prebieha,5,Denne,58.55,23.96,0.409223,1,58.55,23.96,4.20497,13924,7816,1.781474,207,0.28285,1.486642,2.27738,11,5.322727,299.78,0.746269,0.483092,134,0.43694,229,0.255677,2,7,6,58.55,0.007182,
2026-05-01,2026-05-31,"Sivanto Prime",sanaplant_05-07/26,inactive,2026-05-13,Prebieha,5,Denne,77.15,159.48,2.067142,3,25.716667,53.16,3.599589,21433,8392,2.55398,338,0.228254,1.577007,3.193518,17,4.538235,773.38,1.239669,0.887574,242,0.318802,484,0.159401,,9,11,0.741827,0.485233,13
2026-05-01,2026-05-31,"Šikovný gazda vie, čím ochráni svoju úrodu.",sanaplant_05-07/26,inactive,2026-05-13,Prebieha,5,Denne,45.28,,,,,,4.03637,11218,5410,2.073567,270,0.167704,2.406846,3.567468,16,2.83,946.25,0,0,181,0.250166,452,0.100177,,1,1,0.266353,1.515422,13
2026-05-01,2026-05-31,"Foli Max",sanaplant_05-07/26,not_delivering,2026-05-13,Prebieha,5,Denne,80.63,472.21,5.856505,4,20.1575,118.0525,3.986256,20227,6204,3.260316,171,0.47152,0.845405,2.12766,21,3.839524,907.48,4.395604,2.339181,91,0.886044,193,0.417772,,2,1,20.1575,0.019776,
2026-05-01,2026-05-31,"ZDRAVÁ UHORKA - CELOROČNÁ OCHRANA",sanaplant_boosting_traffic,not_delivering,2026-05-20,2026-06-19,40,Celkový,16.37,,,,,,1.398548,11705,6318,1.852643,290,0.056448,2.477574,3.893637,,,,0,0,186,0.088011,3136,0.00522,,7,6,0.005789,24.160615,592
2026-05-01,2026-05-31,"Sanaplant Poradňa | Škvrnité listy ríbezlí a egrešov",sanaplant_boosting_traffic,not_delivering,2026-05-20,2026-06-03,25,Celkový,20.33,,,,,,0.947256,21462,12383,1.733183,393,0.05173,1.831143,2.640717,,,,0,0,315,0.06454,6490,0.003133,3,8,8,0.003371,28.100829,2654
