"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku","Cena za 3-sekundové prehranie videa (EUR)","3-second video plays rate per impressions",ThruPlays
2026-04-01,2026-04-30,"Ochráňte svoje stromy pred jarnými mrazmi",sanaplant_conversion_frigomax,not_delivering,2025-03-07,Prebieha,12,Denne,114.86,447.92,3.899704,18,6.381111,24.884444,1.950913,58875,19661,2.994507,967,0.11878,1.642463,3.885865,83,1.383855,1756.47,2.975207,1.857585,605,0.189851,1076,0.106747,14,10,39,38.286667,0.005096,
2026-04-01,2026-04-30,"10 produktov Sanaplant 1/26",sanaplant_general_sales,inactive,2026-01-15,Prebieha,4,Denne,32.9,24.97,0.758967,1,32.9,24.97,2.357409,13956,4671,2.987797,173,0.190173,1.23961,2.654678,19,1.731579,3773.74,0.892857,0.578035,112,0.29375,1092,0.030128,,,2,0.036035,6.541989,136
2026-04-01,2026-04-30,"Silné rastliny začínajú v pôde",sanaplant_boosting_traffic,not_delivering,2026-04-01,2026-04-15,15,Celkový,14.97,,,,,,1.217568,12295,5627,2.185001,290,0.051621,2.358682,3.927492,1,14.97,12.92,0,0,243,0.061605,322,0.046491,,6,4,,,
2026-04-01,2026-04-30,"🌱 Ponuka produktov v kategórii Šikovný gazda sa opäť rozrastá.",sanaplant_boosting_traffic,not_delivering,2026-04-07,2026-04-15,15,Celkový,14.95,,,,,,1.235129,12104,5659,2.138894,262,0.057061,2.164574,3.516522,5,2.99,689.98,0,0,183,0.081694,293,0.051024,,6,3,,,
2026-04-01,2026-04-30,frigomax_video,sanaplant_conversion_frigomax,not_delivering,2026-04-14,Prebieha,7,Denne,71.2,436.55,6.13132,3,23.733333,145.516667,2.78386,25576,9970,2.565296,173,0.411561,0.676415,1.514544,9,7.911111,791.94,3.846154,1.714286,78,0.912821,4807,0.014812,2,9,14,0.015556,17.895683,1018
2026-04-01,2026-04-30,"Jarné mrazy môžu zničiť úrodu",sanaplant_conversion_frigomax,not_delivering,2026-04-14,Prebieha,7,Denne,39.19,121.91,3.110743,2,19.595,60.955,1.915632,20458,8387,2.439251,13,3.014615,0.063545,0.155002,4,9.7975,23.72,100,14.285714,2,19.595,390,0.100487,3,1,1,0.141993,1.349105,60
2026-04-01,2026-04-30,"Slimáky / slizniaky",sanaplant_boosting_traffic,not_delivering,2026-04-28,2026-05-12,15,Celkový,2.56,,,,,,1.51569,1689,1448,1.166436,53,0.048302,3.137951,3.314917,,,,0,0,21,0.121905,147,0.017415,,,,0.027527,5.506217,33
2026-04-01,2026-04-30,"Starostlivosť o broskyne",sanaplant_boosting_traffic,not_delivering,2026-04-28,2026-05-17,30,Celkový,4.52,,,,,,0.664413,6803,4671,1.456433,274,0.016496,4.027635,4.75273,,,,0,0,207,0.021836,295,0.015322,,6,3,,,
