"Začiatok vykazovania","Koniec vykazovania","Názov reklamy","Názov kampane","Doručovanie reklám",Spustenie,Koniec,"Rozpočet zostavy reklám","Typ rozpočtu zostavy reklám","Minutá suma (EUR)","Purchases conversion value","ROAS pre nákupy (Návratnosť reklamných výdavkov)",Nákupy,"Cena za jeden nákup (EUR)","Average purchases conversion value [Incremental attribution all conversions]","CPM (cena za 1000 impresií) (EUR)",Impresie,Dosah,Frekvencia,"Odchodové kliknutia","Cena za odchodové kliknutie (EUR)","Outbound CTR (click-through rate)","Jedinečné odchodové CTR (miera prekliknutia)","Pridania do košíka","Cena za pridanie do košíka (EUR)","Hodnota konverzie pridaní do košíka","Purchases rate per landing page views","Purchases rate per link clicks","Pozretia cieľovej stránky","Cena za pozretie cieľovej stránky (EUR)","Post engagements","Cena za interakciu s príspevkom (EUR)","Komentáre k príspevku","Uloženia príspevkov","Zdieľania príspevku","Cena za 3-sekundové prehranie videa (EUR)","3-second video plays rate per impressions",ThruPlays
2026-01-01,2026-01-31,"Sanaplant Poradňa | Zozelenená mrkva v časti pod vňaťou",sanaplant_boosting,inactive,2026-01-06,2026-01-18,15,Celkový,14.98,,,,,,1.698798,8818,6554,1.345438,181,0.082762,2.05262,2.578578,1,14.98,,0,0,27,0.554815,383,0.039112,9,2,1,,,
2026-01-01,2026-01-31,"Najlepšie rady nie sú z internetu",sanaplant_boosting_traffic,inactive,2026-01-12,2026-01-19,15,Celkový,14.98,,,,,,1.615965,9270,6019,1.540123,125,0.11984,1.348436,1.877388,2,7.49,45.67,0,0,100,0.1498,145,0.10331,,,,,,
2026-01-01,2026-01-31,repka_video,sanaplant_boosting_traffic,inactive,2026-01-15,Prebieha,5,Denne,83.47,212.7,2.548221,3,27.823333,70.9,1.587546,52578,27310,1.925229,731,0.114186,1.390315,2.500915,6,13.911667,279.6,0.632911,0.409836,474,0.176097,12997,0.006422,2,18,6,0.006894,23.026741,1789
2026-01-01,2026-01-31,"Pestujete repku, slnečnicu, mak alebo sóju?",sanaplant_boosting_traffic,inactive,2026-01-15,Prebieha,2,Denne,75.59,69.9,0.924725,1,75.59,69.9,1.285238,58814,27152,2.166102,418,0.180837,0.710715,1.392163,3,25.196667,168.15,0.358423,0.239234,279,0.270932,494,0.153016,,7,3,,,
2026-01-01,2026-01-31,"10 produktov Sanaplant 1/26",sanaplant_general_sales,inactive,2026-01-15,Prebieha,4,Denne,136.06,233.97,1.719609,6,22.676667,38.995,3.108806,43766,13140,3.330746,625,0.217696,1.428049,3.25723,80,1.70075,1656.45,1.834862,0.96,327,0.416086,4448,0.030589,,6,5,0.036138,8.602568,608
2026-01-01,2026-01-31,"Predjarná ochrana broskýň",sanaplant_boosting_traffic,inactive,2026-01-15,2026-01-19,55,Celkový,54.93,,,,,,1.458228,37669,17594,2.141014,989,0.055541,2.625501,4.66068,2,27.465,295.35,0,0,808,0.067983,9941,0.005526,1,42,10,0.006207,23.49412,1907
2026-01-01,2026-01-31,"SÚŤAŽ O ENCYKLOPÉDIU",sanaplant_boosting,inactive,2026-01-16,2026-01-20,100,Celkový,99.66,,,,,,2.013049,49507,24760,1.999475,44,2.265,0.088876,0.16559,5,19.932,299.41,0,0,18,5.536667,1617,0.061633,474,13,140,,,
2026-01-01,2026-01-31,"Začiatok sezóny je plný stresov",sanaplant_boosting_traffic,inactive,2026-01-19,2026-01-31,15,Celkový,14.96,,,,,,1.843273,8116,4570,1.77593,113,0.132389,1.392311,2.14442,,,,0,0,60,0.249333,134,0.111642,1,3,,,,
2026-01-01,2026-01-31,"10 produktov Sanaplant 1/26",sanaplant_general_sales,not_delivering,2026-01-29,Prebieha,6,Denne,15.64,49.94,3.193095,2,7.82,24.97,2.921726,5353,3140,1.704777,79,0.197975,1.475808,2.070064,6,2.606667,73.15,5,2.531646,40,0.391,262,0.059695,,1,1,0.090405,3.231833,32
2026-01-01,2026-01-31,"Predjarná ochrana broskýň",sanaplant_general_sales,inactive,2026-01-15,Prebieha,4,Denne,10.78,,,,,,2.130014,5061,2953,1.71385,85,0.126824,1.67951,2.235015,14,0.77,1136.58,0,0,47,0.229362,1380,0.007812,,3,2,0.008422,25.291444,1077
2026-01-01,2026-01-31,"Pestujete repku, slnečnicu, mak alebo sóju?",sanaplant_general_sales,inactive,2026-01-29,Prebieha,3,Denne,7.82,49.58,6.340153,1,7.82,49.58,2.202197,3551,1225,2.898776,26,0.300769,0.732188,1.714286,4,1.955,112.95,5.882353,3.846154,17,0.46,506,0.015455,,,,0.016603,13.263869,86
